"구명","유형","설치주소","지역명","상세설치장소","설치기관(회사)","설치위치(X좌표)","설치위치(Y좌표)","콘텐츠아이디"
"강남구","공공기관","u-강남 도시관제센터","서울 강남구 언주로108길 20","2층","자치구","127.0410033","37.5082915","WF121001"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","6층","자치구","127.0642501","37.4938501","WF121002"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","6층","자치구","127.0642501","37.4938501","WF121003"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","5층","자치구","127.0642501","37.4938501","WF121004"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","5층","자치구","127.0642501","37.4938501","WF121005"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","5층","자치구","127.0642501","37.4938501","WF121006"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","4층","자치구","127.0642501","37.4938501","WF121007"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","3층","자치구","127.0642501","37.4938501","WF121008"
"강남구","공공기관","강남구의회","서울 강남구 삼성로 154","2층","자치구","127.0642501","37.4938501","WF121009"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관4층","자치구","127.0474601","37.5175201","WF121010"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관4층","자치구","127.0474601","37.5175201","WF121011"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관4층","자치구","127.0474601","37.5175201","WF121012"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관4층","자치구","127.0474601","37.5175201","WF121013"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관3층","자치구","127.0474601","37.5175201","WF121014"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관3층","자치구","127.0474601","37.5175201","WF121015"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관4층","자치구","127.0474601","37.5175201","WF121016"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","본관2층","자치구","127.0474601","37.5175201","WF121017"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","1별관3층","자치구","127.0474601","37.5175201","WF121018"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","1별관2층","자치구","127.0474601","37.5175201","WF121019"
"강남구","공공기관","강남구청","서울 강남구 학동로 426","1별관1층","자치구","127.0474601","37.5175201","WF121020"
